model,period,horizon_min,horizon_label,n_seed,n,MAE_mean,MAE_std,RMSE_mean,RMSE_std,WMAPE_mean,WMAPE_std,MAPE_mean,MAPE_std
Historical Average,off_peak,15,15分钟,1,275508,1.89655542,0.00000000,2.86522532,0.00000000,8.04470062,0.00000000,9.63408947,0.00000000
Historical Average,off_peak,30,30分钟,1,276329,1.88137698,0.00000000,2.84446883,0.00000000,7.98434162,0.00000000,9.56530666,0.00000000
Historical Average,off_peak,45,45分钟,1,277059,1.86572254,0.00000000,2.82363081,0.00000000,7.92042542,0.00000000,9.48139763,0.00000000
Historical Average,off_peak,60,60分钟,1,277726,1.84968770,0.00000000,2.79981375,0.00000000,7.85457945,0.00000000,9.40809631,0.00000000
Historical Average,off_peak,-1,四时距汇总,1,1106622,1.87328351,0.00000000,2.83331633,0.00000000,7.95082951,0.00000000,9.52196789,0.00000000
LSTM,all,15,15分钟,1,628205,1.72842538,0.00000000,2.62394905,0.00000000,7.87492895,0.00000000,9.46146584,0.00000000
LSTM,all,30,30分钟,1,629026,1.81431174,0.00000000,2.75548387,0.00000000,8.26740456,0.00000000,10.02056694,0.00000000
LSTM,all,45,45分钟,1,629756,1.89714944,0.00000000,2.86813474,0.00000000,8.64543724,0.00000000,10.54206467,0.00000000
LSTM,all,60,60分钟,1,630423,1.97311246,0.00000000,2.97154665,0.00000000,8.99211216,0.00000000,11.01453686,0.00000000
LSTM,all,-1,四时距汇总,1,2517410,1.85336971,0.00000000,2.80793023,0.00000000,8.44547939,0.00000000,10.26042175,0.00000000
LSTM,am_peak,15,15分钟,1,88342,1.78147459,0.00000000,2.68513083,0.00000000,8.52066994,0.00000000,10.23734665,0.00000000
LSTM,am_peak,30,30分钟,1,88342,2.03435469,0.00000000,3.05170274,0.00000000,9.73017788,0.00000000,11.77271461,0.00000000
LSTM,am_peak,45,45分钟,1,88342,2.27040792,0.00000000,3.36790633,0.00000000,10.85920429,0.00000000,13.24320889,0.00000000
LSTM,am_peak,60,60分钟,1,88342,2.47856498,0.00000000,3.63830304,0.00000000,11.85480499,0.00000000,14.55886364,0.00000000
LSTM,am_peak,-1,四时距汇总,1,353368,2.14120054,0.00000000,3.20557570,0.00000000,10.24121380,0.00000000,12.45303345,0.00000000
LSTM,inter_peak,15,15分钟,1,176681,1.40488863,0.00000000,2.13332105,0.00000000,6.73348093,0.00000000,8.07433414,0.00000000
LSTM,inter_peak,30,30分钟,1,176681,1.44588113,0.00000000,2.20906878,0.00000000,6.92995405,0.00000000,8.36281967,0.00000000
LSTM,inter_peak,45,45分钟,1,176681,1.49152887,0.00000000,2.27387047,0.00000000,7.14873886,0.00000000,8.66756916,0.00000000
LSTM,inter_peak,60,60分钟,1,176681,1.53650546,0.00000000,2.33849478,0.00000000,7.36430645,0.00000000,8.93061924,0.00000000
LSTM,inter_peak,-1,四时距汇总,1,706724,1.46970093,0.00000000,2.23998260,0.00000000,7.04412031,0.00000000,8.50883484,0.00000000
LSTM,pm_peak,15,15分钟,1,87674,1.71879888,0.00000000,2.71344090,0.00000000,8.56394577,0.00000000,10.64640713,0.00000000
LSTM,pm_peak,30,30分钟,1,87674,1.84366071,0.00000000,2.94613886,0.00000000,9.18607235,0.00000000,11.63753510,0.00000000
LSTM,pm_peak,45,45分钟,1,87674,1.93565667,0.00000000,3.09465408,0.00000000,9.64444447,0.00000000,12.39089298,0.00000000
LSTM,pm_peak,60,60分钟,1,87674,2.00457191,0.00000000,3.21541023,0.00000000,9.98781586,0.00000000,13.01786613,0.00000000
LSTM,pm_peak,-1,四时距汇总,1,350696,1.87567210,0.00000000,2.99825978,0.00000000,9.34557056,0.00000000,11.92317486,0.00000000
LSTM,off_peak,15,15分钟,1,275508,1.92196012,0.00000000,2.85057187,0.00000000,8.15246201,0.00000000,9.72518349,0.00000000
LSTM,off_peak,30,30分钟,1,276329,1.97022188,0.00000000,2.90384459,0.00000000,8.36138916,0.00000000,10.00731945,0.00000000
LSTM,off_peak,45,45分钟,1,277059,2.02461290,0.00000000,2.95865917,0.00000000,8.59495163,0.00000000,10.29109192,0.00000000
LSTM,off_peak,60,60分钟,1,277726,2.08015776,0.00000000,3.01503253,0.00000000,8.83325481,0.00000000,10.58039474,0.00000000
LSTM,off_peak,-1,四时距汇总,1,1106622,1.99941444,0.00000000,2.93285060,0.00000000,8.48617077,0.00000000,10.15194988,0.00000000
CNN-LSTM,all,15,15分钟,1,628205,1.72825277,0.00000000,2.61936045,0.00000000,7.87414217,0.00000000,9.48737907,0.00000000
CNN-LSTM,all,30,30分钟,1,629026,1.81336617,0.00000000,2.74994540,0.00000000,8.26309586,0.00000000,10.05666447,0.00000000
CNN-LSTM,all,45,45分钟,1,629756,1.89389586,0.00000000,2.86083555,0.00000000,8.63060951,0.00000000,10.53802109,0.00000000
CNN-LSTM,all,60,60分钟,1,630423,1.97146404,0.00000000,2.96228385,0.00000000,8.98459911,0.00000000,11.01799583,0.00000000
CNN-LSTM,all,-1,四时距汇总,1,2517410,1.85186362,0.00000000,2.80118251,0.00000000,8.43861580,0.00000000,10.27576256,0.00000000
CNN-LSTM,am_peak,15,15分钟,1,88342,1.75778699,0.00000000,2.65809989,0.00000000,8.40737343,0.00000000,10.13813210,0.00000000
CNN-LSTM,am_peak,30,30分钟,1,88342,2.00545025,0.00000000,3.01498485,0.00000000,9.59192944,0.00000000,11.66445446,0.00000000
CNN-LSTM,am_peak,45,45分钟,1,88342,2.23214459,0.00000000,3.32202649,0.00000000,10.67619324,0.00000000,13.04737186,0.00000000
CNN-LSTM,am_peak,60,60分钟,1,88342,2.43483567,0.00000000,3.58284044,0.00000000,11.64564991,0.00000000,14.34780693,0.00000000
CNN-LSTM,am_peak,-1,四时距汇总,1,353368,2.10755420,0.00000000,3.16339350,0.00000000,10.08028603,0.00000000,12.29944038,0.00000000
CNN-LSTM,inter_peak,15,15分钟,1,176681,1.41208684,0.00000000,2.13619995,0.00000000,6.76798153,0.00000000,8.12296581,0.00000000
CNN-LSTM,inter_peak,30,30分钟,1,176681,1.45484960,0.00000000,2.21619248,0.00000000,6.97293854,0.00000000,8.43863773,0.00000000
CNN-LSTM,inter_peak,45,45分钟,1,176681,1.49914229,0.00000000,2.27970529,0.00000000,7.18522882,0.00000000,8.71315670,0.00000000
CNN-LSTM,inter_peak,60,60分钟,1,176681,1.54753494,0.00000000,2.34441376,0.00000000,7.41717005,0.00000000,8.99763107,0.00000000
CNN-LSTM,inter_peak,-1,四时距汇总,1,706724,1.47840345,0.00000000,2.24545050,0.00000000,7.08582973,0.00000000,8.56809807,0.00000000
CNN-LSTM,pm_peak,15,15分钟,1,87674,1.72415030,0.00000000,2.71870995,0.00000000,8.59061050,0.00000000,10.73429203,0.00000000
CNN-LSTM,pm_peak,30,30分钟,1,87674,1.84972703,0.00000000,2.95174885,0.00000000,9.21629810,0.00000000,11.72510624,0.00000000
CNN-LSTM,pm_peak,45,45分钟,1,87674,1.93843508,0.00000000,3.09652209,0.00000000,9.65828705,0.00000000,12.39476299,0.00000000
CNN-LSTM,pm_peak,60,60分钟,1,87674,2.00791025,0.00000000,3.21435785,0.00000000,10.00444984,0.00000000,13.01893616,0.00000000
CNN-LSTM,pm_peak,-1,四时距汇总,1,350696,1.88005567,0.00000000,3.00103116,0.00000000,9.36741161,0.00000000,11.96827412,0.00000000
CNN-LSTM,off_peak,15,15分钟,1,275508,1.92284298,0.00000000,2.84608889,0.00000000,8.15620613,0.00000000,9.75693130,0.00000000
CNN-LSTM,off_peak,30,30分钟,1,276329,1.96965098,0.00000000,2.89887285,0.00000000,8.35896683,0.00000000,10.04784298,0.00000000
CNN-LSTM,off_peak,45,45分钟,1,277059,2.02368379,0.00000000,2.95565200,0.00000000,8.59100723,0.00000000,10.31404686,0.00000000
CNN-LSTM,off_peak,60,60分钟,1,277726,2.08225465,0.00000000,3.01289892,0.00000000,8.84216022,0.00000000,10.61241913,0.00000000
CNN-LSTM,off_peak,-1,四时距汇总,1,1106622,1.99978542,0.00000000,2.92922664,0.00000000,8.48774433,0.00000000,10.18375683,0.00000000
STGCN,all,15,15分钟,3,628205,1.67956877,0.00039091,2.54158958,0.00154525,7.65233215,0.00178124,9.10958099,0.01614668
STGCN,all,30,30分钟,3,629026,1.73546672,0.00152939,2.63129822,0.00100955,7.90812620,0.00696892,9.43062528,0.01461506
STGCN,all,45,45分钟,3,629756,1.78536014,0.00188808,2.69941608,0.00170598,8.13600540,0.00860420,9.70034726,0.02405860
STGCN,all,60,60分钟,3,630423,1.83501887,0.00259318,2.76290361,0.00260900,8.36277453,0.01181795,9.95717716,0.02843112
STGCN,all,-1,四时距汇总,3,2517410,1.75892941,0.00151250,2.66017771,0.00169656,8.01513036,0.00689221,9.54984665,0.01762873
STGCN,am_peak,15,15分钟,3,88342,1.62950846,0.00447355,2.42033490,0.00486863,7.79382642,0.02139658,9.10427348,0.04649614
STGCN,am_peak,30,30分钟,3,88342,1.75526110,0.00843173,2.58578904,0.00898242,8.39529228,0.04032823,9.74989414,0.06585762
STGCN,am_peak,45,45分钟,3,88342,1.87784799,0.01146262,2.73360014,0.01590754,8.98161697,0.05482490,10.37936497,0.08654991
STGCN,am_peak,60,60分钟,3,88342,1.99981769,0.01410747,2.89184682,0.02357800,9.56498973,0.06747525,11.03827953,0.10372751
STGCN,am_peak,-1,四时距汇总,3,353368,1.81560878,0.00893306,2.66363724,0.01354480,8.68393040,0.04272618,10.06795247,0.07104541
STGCN,inter_peak,15,15分钟,3,176681,1.39147580,0.00104492,2.09581979,0.00172850,6.66919502,0.00500825,7.88702742,0.01552823
STGCN,inter_peak,30,30分钟,3,176681,1.43040423,0.00145212,2.16591668,0.00267627,6.85577520,0.00695982,8.11964448,0.01035041
STGCN,inter_peak,45,45分钟,3,176681,1.46432201,0.00230040,2.21437430,0.00156180,7.01833932,0.01102547,8.31344700,0.01536173
STGCN,inter_peak,60,60分钟,3,176681,1.49855661,0.00237936,2.25229144,0.00189290,7.18242200,0.01140370,8.47317855,0.01761824
STGCN,inter_peak,-1,四时距汇总,3,706724,1.44618964,0.00166128,2.18288382,0.00187070,6.93143288,0.00796259,8.19832420,0.00927110
STGCN,pm_peak,15,15分钟,3,87674,1.70166119,0.00264435,2.67744350,0.00684781,8.47855790,0.01317552,10.52593040,0.02712098
STGCN,pm_peak,30,30分钟,3,87674,1.80609000,0.00228825,2.87756125,0.00867239,8.99887594,0.01140085,11.25482400,0.02797182
STGCN,pm_peak,45,45分钟,3,87674,1.87713766,0.00265174,2.99773979,0.01224791,9.35287221,0.01321265,11.76810074,0.04119473
STGCN,pm_peak,60,60分钟,3,87674,1.93967927,0.00340507,3.11160509,0.01588980,9.66448752,0.01696587,12.21049754,0.02757973
STGCN,pm_peak,-1,四时距汇总,3,350696,1.83114203,0.00233803,2.92051609,0.01070768,9.12369887,0.01164957,11.43983841,0.02956819
STGCN,off_peak,15,15分钟,3,275508,1.87334192,0.00057497,2.78435556,0.00192363,7.94623566,0.00243889,9.44461536,0.00812907
STGCN,off_peak,30,30分钟,3,276329,1.90178402,0.00096545,2.82782276,0.00467202,8.07094701,0.00409717,9.58801905,0.00304416
STGCN,off_peak,45,45分钟,3,277059,1.93155352,0.00104277,2.86522873,0.00593560,8.19989300,0.00442727,9.71395048,0.00958343
STGCN,off_peak,60,60分钟,3,277726,1.96360540,0.00289592,2.89549295,0.00572982,8.33832296,0.01229735,9.84602801,0.01403641
STGCN,off_peak,-1,四时距汇总,3,1106622,1.91767136,0.00121192,2.84365400,0.00436924,8.13922628,0.00514376,9.64859835,0.00410360
STSGCN,all,15,15分钟,1,628205,1.71695173,0.00000000,2.57251263,0.00000000,7.82265377,0.00000000,9.39992237,0.00000000
STSGCN,all,30,30分钟,1,629026,1.74821389,0.00000000,2.62795305,0.00000000,7.96621227,0.00000000,9.57081318,0.00000000
STSGCN,all,45,45分钟,1,629756,1.78038621,0.00000000,2.67008996,0.00000000,8.11333847,0.00000000,9.72730350,0.00000000
STSGCN,all,60,60分钟,1,630423,1.81102371,0.00000000,2.71147275,0.00000000,8.25342083,0.00000000,9.86832237,0.00000000
STSGCN,all,-1,四时距汇总,1,2517410,1.76419020,0.00000000,2.64607501,0.00000000,8.03910351,0.00000000,9.64181995,0.00000000
STSGCN,am_peak,15,15分钟,1,88342,1.66029513,0.00000000,2.44836545,0.00000000,7.94107676,0.00000000,9.41587639,0.00000000
STSGCN,am_peak,30,30分钟,1,88342,1.74250972,0.00000000,2.55409431,0.00000000,8.33430386,0.00000000,9.81826210,0.00000000
STSGCN,am_peak,45,45分钟,1,88342,1.84235132,0.00000000,2.68075275,0.00000000,8.81183910,0.00000000,10.29877281,0.00000000
STSGCN,am_peak,60,60分钟,1,88342,1.95462322,0.00000000,2.82489729,0.00000000,9.34882736,0.00000000,10.88422203,0.00000000
STSGCN,am_peak,-1,四时距汇总,1,353368,1.79994488,0.00000000,2.63079691,0.00000000,8.60901165,0.00000000,10.10428333,0.00000000
STSGCN,inter_peak,15,15分钟,1,176681,1.43681300,0.00000000,2.13128972,0.00000000,6.88649130,0.00000000,8.18939972,0.00000000
STSGCN,inter_peak,30,30分钟,1,176681,1.45990109,0.00000000,2.17965698,0.00000000,6.99715042,0.00000000,8.31724358,0.00000000
STSGCN,inter_peak,45,45分钟,1,176681,1.48158789,0.00000000,2.20994306,0.00000000,7.10109234,0.00000000,8.44447517,0.00000000
STSGCN,inter_peak,60,60分钟,1,176681,1.49565339,0.00000000,2.22902012,0.00000000,7.16850662,0.00000000,8.49371719,0.00000000
STSGCN,inter_peak,-1,四时距汇总,1,706724,1.46848881,0.00000000,2.18778872,0.00000000,7.03831005,0.00000000,8.36120796,0.00000000
STSGCN,pm_peak,15,15分钟,1,87674,1.75422442,0.00000000,2.73175740,0.00000000,8.74045467,0.00000000,10.91362476,0.00000000
STSGCN,pm_peak,30,30分钟,1,87674,1.81557572,0.00000000,2.88028002,0.00000000,9.04613876,0.00000000,11.36339569,0.00000000
STSGCN,pm_peak,45,45分钟,1,87674,1.86468089,0.00000000,2.96176171,0.00000000,9.29080582,0.00000000,11.71850491,0.00000000
STSGCN,pm_peak,60,60分钟,1,87674,1.89688075,0.00000000,3.03138804,0.00000000,9.45124245,0.00000000,11.94450569,0.00000000
STSGCN,pm_peak,-1,四时距汇总,1,350696,1.83284044,0.00000000,2.90344000,0.00000000,9.13216114,0.00000000,11.48500729,0.00000000
STSGCN,off_peak,15,15分钟,1,275508,1.90290797,0.00000000,2.80710626,0.00000000,8.07164764,0.00000000,9.68944073,0.00000000
STSGCN,off_peak,30,30分钟,1,276329,1.91300786,0.00000000,2.82232928,0.00000000,8.11857986,0.00000000,9.72449207,0.00000000
STSGCN,off_peak,45,45分钟,1,277059,1.92449760,0.00000000,2.83255339,0.00000000,8.16993904,0.00000000,9.73305511,0.00000000
STSGCN,off_peak,60,60分钟,1,277726,1.93887186,0.00000000,2.84406328,0.00000000,8.23329353,0.00000000,9.76424026,0.00000000
STSGCN,off_peak,-1,四时距汇总,1,1106622,1.91986108,0.00000000,2.82658625,0.00000000,8.14851952,0.00000000,9.72788525,0.00000000
STAEformer,all,15,15分钟,3,628205,1.61811753,0.00082639,2.47254809,0.00182696,7.37235276,0.00376516,8.75965754,0.00582949
STAEformer,all,30,30分钟,3,629026,1.64008975,0.00081043,2.53608147,0.00056707,7.47351472,0.00369308,8.91427231,0.01112897
STAEformer,all,45,45分钟,3,629756,1.65369372,0.00150711,2.56982406,0.00351049,7.53599294,0.00686801,8.98707612,0.00356446
STAEformer,all,60,60分钟,3,630423,1.66411897,0.00157647,2.58958602,0.00907861,7.58392859,0.00718454,9.06608168,0.02787571
STAEformer,all,-1,四时距汇总,3,2517410,1.64402747,0.00079012,2.54245766,0.00338474,7.49154313,0.00360046,8.93191878,0.00790293
STAEformer,am_peak,15,15分钟,3,88342,1.50479011,0.00371347,2.26593431,0.00610561,7.19730695,0.01776145,8.41475042,0.01281579
STAEformer,am_peak,30,30分钟,3,88342,1.54725246,0.00499001,2.35021122,0.00080672,7.40040143,0.02386694,8.66157754,0.00997760
STAEformer,am_peak,45,45分钟,3,88342,1.58109204,0.00642997,2.40690955,0.00227166,7.56225379,0.03075441,8.85011133,0.03549222
STAEformer,am_peak,60,60分钟,3,88342,1.60936972,0.01061146,2.45080415,0.01484553,7.69750388,0.05075381,9.02500947,0.05149420
STAEformer,am_peak,-1,四时距汇总,3,353368,1.56062603,0.00604690,2.36948299,0.00415788,7.46436612,0.02892186,8.73786195,0.02664951
STAEformer,inter_peak,15,15分钟,3,176681,1.36541736,0.00297975,2.07828967,0.00989432,6.54429992,0.01428160,7.66863314,0.01073697
STAEformer,inter_peak,30,30分钟,3,176681,1.38713944,0.00400786,2.15199471,0.00941952,6.64841112,0.01920924,7.79653184,0.00790806
STAEformer,inter_peak,45,45分钟,3,176681,1.40223722,0.00357481,2.19495511,0.00749819,6.72077322,0.01713403,7.86214558,0.01583561
STAEformer,inter_peak,60,60分钟,3,176681,1.41132172,0.00141841,2.20284851,0.00226769,6.76431417,0.00679825,7.91003736,0.00549586
STAEformer,inter_peak,-1,四时距汇总,3,706724,1.39152892,0.00272870,2.15759691,0.00467274,6.66944997,0.01307837,7.80933714,0.00666107
STAEformer,pm_peak,15,15分钟,3,87674,1.64154764,0.00574250,2.59910949,0.01206541,8.17904059,0.02861206,10.16468747,0.04639075
STAEformer,pm_peak,30,30分钟,3,87674,1.71344229,0.00325558,2.75743842,0.01384300,8.53725719,0.01622127,10.72027175,0.00636529
STAEformer,pm_peak,45,45分钟,3,87674,1.75317264,0.00424161,2.83465632,0.00897375,8.73521455,0.02113411,10.97554398,0.03181639
STAEformer,pm_peak,60,60分钟,3,87674,1.78919013,0.00811617,2.89579892,0.01242659,8.91467190,0.04043897,11.21701050,0.09298504
STAEformer,pm_peak,-1,四时距汇总,3,350696,1.72433809,0.00071174,2.77399325,0.00679564,8.59154669,0.00354641,10.76937898,0.02087756
STAEformer,off_peak,15,15分钟,3,275508,1.80905473,0.00384233,2.71544329,0.00499727,7.67354584,0.01629832,9.12284088,0.01716453
STAEformer,off_peak,30,30分钟,3,276329,1.80822937,0.00265214,2.73886911,0.00803702,7.67391237,0.01125541,9.13674831,0.02627532
STAEformer,off_peak,45,45分钟,3,277059,1.80571802,0.00502861,2.74743414,0.01450206,7.66569217,0.02134743,9.11890093,0.02000790
STAEformer,off_peak,60,60分钟,3,277726,1.80287313,0.00444733,2.75265439,0.01597536,7.65578445,0.01888525,9.13559119,0.03707929
STAEformer,off_peak,-1,四时距汇总,3,1106622,1.80646189,0.00393569,2.73868314,0.01051241,7.66721678,0.01670424,9.12852732,0.02372732
iTransformer,all,15,15分钟,1,628205,1.69216692,0.00000000,2.58032393,0.00000000,7.70973110,0.00000000,9.16236591,0.00000000
iTransformer,all,30,30分钟,1,629026,1.76208854,0.00000000,2.70009995,0.00000000,8.02943516,0.00000000,9.60387135,0.00000000
iTransformer,all,45,45分钟,1,629756,1.82536411,0.00000000,2.79633832,0.00000000,8.31830597,0.00000000,9.98308468,0.00000000
iTransformer,all,60,60分钟,1,630423,1.88363504,0.00000000,2.87518263,0.00000000,8.58433437,0.00000000,10.32751369,0.00000000
iTransformer,all,-1,四时距汇总,1,2517410,1.79090726,0.00000000,2.74034429,0.00000000,8.16084862,0.00000000,9.76978016,0.00000000
iTransformer,am_peak,15,15分钟,1,88342,1.68813014,0.00000000,2.55717325,0.00000000,8.07421017,0.00000000,9.40115643,0.00000000
iTransformer,am_peak,30,30分钟,1,88342,1.88376176,0.00000000,2.86052513,0.00000000,9.00990200,0.00000000,10.50437641,0.00000000
iTransformer,am_peak,45,45分钟,1,88342,2.07082820,0.00000000,3.12126541,0.00000000,9.90462780,0.00000000,11.59257221,0.00000000
iTransformer,am_peak,60,60分钟,1,88342,2.24559474,0.00000000,3.35307407,0.00000000,10.74052429,0.00000000,12.66678619,0.00000000
iTransformer,am_peak,-1,四时距汇总,1,353368,1.97207868,0.00000000,2.98777270,0.00000000,9.43231487,0.00000000,11.04122353,0.00000000
iTransformer,inter_peak,15,15分钟,1,176681,1.38607800,0.00000000,2.10633945,0.00000000,6.64332438,0.00000000,7.85798645,0.00000000
iTransformer,inter_peak,30,30分钟,1,176681,1.42282116,0.00000000,2.18480515,0.00000000,6.81942987,0.00000000,8.10037613,0.00000000
iTransformer,inter_peak,45,45分钟,1,176681,1.45878041,0.00000000,2.24064302,0.00000000,6.99177885,0.00000000,8.32348824,0.00000000
iTransformer,inter_peak,60,60分钟,1,176681,1.49904120,0.00000000,2.29584098,0.00000000,7.18474483,0.00000000,8.53670979,0.00000000
iTransformer,inter_peak,-1,四时距汇总,1,706724,1.44168019,0.00000000,2.20801973,0.00000000,6.90981960,0.00000000,8.20464039,0.00000000
iTransformer,pm_peak,15,15分钟,1,87674,1.70063245,0.00000000,2.69928312,0.00000000,8.47343254,0.00000000,10.45461464,0.00000000
iTransformer,pm_peak,30,30分钟,1,87674,1.82426107,0.00000000,2.94620585,0.00000000,9.08941364,0.00000000,11.35599899,0.00000000
iTransformer,pm_peak,45,45分钟,1,87674,1.91052723,0.00000000,3.10958099,0.00000000,9.51923656,0.00000000,11.96777534,0.00000000
iTransformer,pm_peak,60,60分钟,1,87674,1.96776164,0.00000000,3.19656324,0.00000000,9.80440712,0.00000000,12.37381649,0.00000000
iTransformer,pm_peak,-1,四时距汇总,1,350696,1.85079563,0.00000000,2.99390101,0.00000000,9.22162342,0.00000000,11.53805161,0.00000000
iTransformer,off_peak,15,15分钟,1,275508,1.88705957,0.00000000,2.81441212,0.00000000,8.00442219,0.00000000,9.51109409,0.00000000
iTransformer,off_peak,30,30分钟,1,276329,1.92038655,0.00000000,2.85900331,0.00000000,8.14989376,0.00000000,9.72139835,0.00000000
iTransformer,off_peak,45,45分钟,1,277059,1.95391726,0.00000000,2.89930010,0.00000000,8.29483223,0.00000000,9.90017414,0.00000000
iTransformer,off_peak,60,60分钟,1,277726,1.98660886,0.00000000,2.93423295,0.00000000,8.43600655,0.00000000,10.07666874,0.00000000
iTransformer,off_peak,-1,四时距汇总,1,1106622,1.93710411,0.00000000,2.87721872,0.00000000,8.22170544,0.00000000,9.80296326,0.00000000
